t=2026-04-08T13:31:57+0700 lvl=info msg="no configuration paths supplied"
t=2026-04-08T13:31:57+0700 lvl=info msg="using configuration at default config path" path=/home/illicit_comms/.config/ngrok/ngrok.yml
t=2026-04-08T13:31:57+0700 lvl=info msg="open config file" path=/home/illicit_comms/.config/ngrok/ngrok.yml err=nil
t=2026-04-08T13:31:57+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T13:31:57+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T13:31:58+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T13:31:58+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T13:31:58+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://uxoriously-nonparochial-alisson.ngrok-free.dev
t=2026-04-08T13:32:01+0700 lvl=info msg=start pg=/api/tunnels id=f0cf5906ef78ae08
t=2026-04-08T13:32:01+0700 lvl=info msg=end pg=/api/tunnels id=f0cf5906ef78ae08 status=200 dur=296.893µs
t=2026-04-08T13:32:06+0700 lvl=info msg="join connections" obj=join id=b16b94079c21 l=[::1]:3000 r=203.80.164.89:6127
t=2026-04-08T13:32:28+0700 lvl=info msg="join connections" obj=join id=c16832c30fae l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:29+0700 lvl=info msg="join connections" obj=join id=6bb400d9e6d9 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:29+0700 lvl=info msg="join connections" obj=join id=7cf64c2bf3e9 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:29+0700 lvl=info msg="join connections" obj=join id=9d6d67ee14fe l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:30+0700 lvl=info msg="join connections" obj=join id=9077ca315a5b l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:30+0700 lvl=info msg="join connections" obj=join id=0036c09bb0cd l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:40+0700 lvl=info msg="join connections" obj=join id=50c7a8a32bdf l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:48+0700 lvl=info msg="join connections" obj=join id=69c186d915b2 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:48+0700 lvl=info msg="join connections" obj=join id=b7167be6a57f l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:48+0700 lvl=info msg="join connections" obj=join id=5c17e7c7e9ff l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:57+0700 lvl=info msg="join connections" obj=join id=0385536851a3 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:32:57+0700 lvl=info msg="join connections" obj=join id=973af63070df l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:33:16+0700 lvl=info msg="join connections" obj=join id=14713a826a1b l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:33:26+0700 lvl=info msg="join connections" obj=join id=fa4858d01a00 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:33:37+0700 lvl=info msg="join connections" obj=join id=54efb5f9eb71 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:33:47+0700 lvl=info msg="join connections" obj=join id=67b5afaa27b8 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:33:57+0700 lvl=info msg="join connections" obj=join id=6a3b013d036c l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:34:07+0700 lvl=info msg="join connections" obj=join id=f9dd6f9e74f9 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:34:09+0700 lvl=info msg="join connections" obj=join id=c391e1472a27 l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:34:10+0700 lvl=info msg="join connections" obj=join id=8b46695137ed l=[::1]:3000 r=203.80.164.89:3401
t=2026-04-08T13:35:23+0700 lvl=info msg="join connections" obj=join id=f4bd3d878c65 l=[::1]:3000 r=203.80.164.89:9516
t=2026-04-08T13:35:23+0700 lvl=info msg="join connections" obj=join id=c60c1845d312 l=[::1]:3000 r=203.80.164.89:9516
t=2026-04-08T13:46:38+0700 lvl=info msg="join connections" obj=join id=cb818a680dda l=[::1]:3000 r=203.80.164.89:3837
t=2026-04-08T13:51:21+0700 lvl=info msg="join connections" obj=join id=994204017f45 l=[::1]:3000 r=203.80.164.89:6099
t=2026-04-08T13:51:21+0700 lvl=info msg="join connections" obj=join id=0a17c8268ee2 l=[::1]:3000 r=203.80.164.89:6099
t=2026-04-08T13:51:21+0700 lvl=info msg="join connections" obj=join id=e7a92c0f1e8a l=[::1]:3000 r=203.80.164.89:6099
t=2026-04-08T13:51:21+0700 lvl=info msg="join connections" obj=join id=18fb77351de0 l=[::1]:3000 r=203.80.164.89:6099
t=2026-04-08T13:51:22+0700 lvl=info msg="join connections" obj=join id=ef5fb36bc4ad l=[::1]:3000 r=203.80.164.89:6099
t=2026-04-08T13:51:22+0700 lvl=info msg="join connections" obj=join id=70268d896874 l=[::1]:3000 r=203.80.164.89:6099
t=2026-04-08T15:22:15+0700 lvl=info msg="join connections" obj=join id=feebf6da0c73 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:15+0700 lvl=info msg="join connections" obj=join id=c887007be41b l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:15+0700 lvl=info msg="join connections" obj=join id=ba93430dab97 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:18+0700 lvl=info msg="join connections" obj=join id=781f428528a3 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:30+0700 lvl=info msg="join connections" obj=join id=b655d24e140e l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:30+0700 lvl=info msg="join connections" obj=join id=fe3662f957e3 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:32+0700 lvl=info msg="join connections" obj=join id=a204f033f240 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:33+0700 lvl=info msg="join connections" obj=join id=ae5e41d0e3ab l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:33+0700 lvl=info msg="join connections" obj=join id=eae6d5c8e4c4 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:33+0700 lvl=info msg="join connections" obj=join id=886c245f37a1 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:33+0700 lvl=info msg="join connections" obj=join id=623616d1c387 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:33+0700 lvl=info msg="join connections" obj=join id=e67fbcc44d19 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:45+0700 lvl=info msg="join connections" obj=join id=f4c553c80d68 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:22:56+0700 lvl=info msg="join connections" obj=join id=308bb365a8d7 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:23:07+0700 lvl=info msg="join connections" obj=join id=91bc38c7b6fe l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:23:10+0700 lvl=info msg="join connections" obj=join id=92855acb4c98 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:23:10+0700 lvl=info msg="join connections" obj=join id=64c750c9dc54 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:23:43+0700 lvl=info msg="join connections" obj=join id=3dc899a570cb l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:23:43+0700 lvl=info msg="join connections" obj=join id=637a37e644b8 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:23:53+0700 lvl=info msg="join connections" obj=join id=ac16536da129 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:24:03+0700 lvl=info msg="join connections" obj=join id=44c456ebaee0 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:24:13+0700 lvl=info msg="join connections" obj=join id=44cffa7a3854 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:24:23+0700 lvl=info msg="join connections" obj=join id=df97188a3f6f l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:24:33+0700 lvl=info msg="join connections" obj=join id=d3ca4cd3f434 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:24:54+0700 lvl=info msg="join connections" obj=join id=42c711d23b7c l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:25:01+0700 lvl=info msg="join connections" obj=join id=ccc474a25505 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:25:02+0700 lvl=info msg="join connections" obj=join id=376d6b7fa10a l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:25:30+0700 lvl=info msg="join connections" obj=join id=786c639e2966 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:25:30+0700 lvl=info msg="join connections" obj=join id=2951356fce0b l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:27:35+0700 lvl=info msg="join connections" obj=join id=e2f3483a4afd l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:27:35+0700 lvl=info msg="join connections" obj=join id=ed3278c71366 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:27:39+0700 lvl=info msg="join connections" obj=join id=48ba8daac454 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:27:39+0700 lvl=info msg="join connections" obj=join id=ec1a1fe31464 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:27:55+0700 lvl=info msg="join connections" obj=join id=8d8f3f2d2e31 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:28:05+0700 lvl=info msg="join connections" obj=join id=de47188ce98b l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:28:15+0700 lvl=info msg="join connections" obj=join id=77d24f5da8b7 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:28:25+0700 lvl=info msg="join connections" obj=join id=5107f0974153 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:28:36+0700 lvl=info msg="join connections" obj=join id=0a4a12f78d17 l=[::1]:3000 r=203.80.164.89:13529
t=2026-04-08T15:32:36+0700 lvl=info msg="join connections" obj=join id=91881429a2f2 l=[::1]:3000 r=203.80.164.89:3425
t=2026-04-08T15:40:11+0700 lvl=info msg="join connections" obj=join id=f921687177cf l=[::1]:3000 r=203.80.164.89:3423
t=2026-04-08T15:40:11+0700 lvl=info msg="join connections" obj=join id=89c3ff6c8bcf l=[::1]:3000 r=203.80.164.89:3423
t=2026-04-08T15:40:11+0700 lvl=info msg="join connections" obj=join id=d7aaca6fa93c l=[::1]:3000 r=203.80.164.89:3423
t=2026-04-08T15:40:11+0700 lvl=info msg="join connections" obj=join id=9f1085f38508 l=[::1]:3000 r=203.80.164.89:3423
t=2026-04-08T15:40:12+0700 lvl=info msg="join connections" obj=join id=88f46affb175 l=[::1]:3000 r=203.80.164.89:3423
t=2026-04-08T15:40:12+0700 lvl=info msg="join connections" obj=join id=3e2e9472e947 l=[::1]:3000 r=203.80.164.89:3423
t=2026-04-08T15:44:34+0700 lvl=info msg="join connections" obj=join id=df82e9f4e658 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:34+0700 lvl=info msg="join connections" obj=join id=60bea2f0d466 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:34+0700 lvl=info msg="join connections" obj=join id=0e0f7cc3af48 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:40+0700 lvl=info msg="join connections" obj=join id=7b8242c87bb6 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:40+0700 lvl=info msg="join connections" obj=join id=646f5f01fd49 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:41+0700 lvl=info msg="join connections" obj=join id=9383931ff025 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:41+0700 lvl=info msg="join connections" obj=join id=fdb2a8f33922 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:45+0700 lvl=info msg="join connections" obj=join id=6b414492eebe l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:57+0700 lvl=info msg="join connections" obj=join id=d46e61bf37c4 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:57+0700 lvl=info msg="join connections" obj=join id=e18215fadce5 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:44:59+0700 lvl=info msg="join connections" obj=join id=732f2a3cfbe5 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:45:12+0700 lvl=info msg="join connections" obj=join id=29ca0f413fb4 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:45:22+0700 lvl=info msg="join connections" obj=join id=1b23ca0a369c l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:45:32+0700 lvl=info msg="join connections" obj=join id=3457ef61375b l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:45:42+0700 lvl=info msg="join connections" obj=join id=d98d36e492d2 l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:45:52+0700 lvl=info msg="join connections" obj=join id=6f8e95f68e4a l=[::1]:3000 r=203.80.164.89:3445
t=2026-04-08T15:47:40+0700 lvl=info msg="join connections" obj=join id=089540402021 l=[::1]:3000 r=203.80.164.89:3812
t=2026-04-08T16:10:33+0700 lvl=info msg="join connections" obj=join id=6ed5e09e6716 l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:33+0700 lvl=info msg="join connections" obj=join id=8320e1020575 l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:33+0700 lvl=info msg="join connections" obj=join id=f24b2828b629 l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:33+0700 lvl=info msg="join connections" obj=join id=b2526b7eaa82 l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:35+0700 lvl=info msg="join connections" obj=join id=7dbc22c1d9ff l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:35+0700 lvl=info msg="join connections" obj=join id=47746673e6af l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:40+0700 lvl=info msg="join connections" obj=join id=630893f7d6df l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:10:49+0700 lvl=info msg="join connections" obj=join id=9678b674c9ee l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:11:01+0700 lvl=info msg="join connections" obj=join id=614dba8d931a l=[::1]:3000 r=203.80.164.89:6467
t=2026-04-08T16:11:20+0700 lvl=info msg="join connections" obj=join id=4b320e290d7a l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:20+0700 lvl=info msg="join connections" obj=join id=1ed3856a458a l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:20+0700 lvl=info msg="join connections" obj=join id=fe6de052baa7 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:20+0700 lvl=info msg="join connections" obj=join id=c5d126d287d6 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:23+0700 lvl=info msg="join connections" obj=join id=bfbf91266753 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:23+0700 lvl=info msg="join connections" obj=join id=542ad2bc4711 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:32+0700 lvl=info msg="join connections" obj=join id=a333d982b4b1 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:42+0700 lvl=info msg="join connections" obj=join id=f307a1609fa5 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:11:52+0700 lvl=info msg="join connections" obj=join id=1a797cf504c3 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:12:02+0700 lvl=info msg="join connections" obj=join id=a6ccaad7ac68 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:12:13+0700 lvl=info msg="join connections" obj=join id=2c4a0c6de219 l=[::1]:3000 r=203.80.164.89:6110
t=2026-04-08T16:23:27+0700 lvl=info msg="join connections" obj=join id=2f81b35d2d5f l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:23:37+0700 lvl=info msg="join connections" obj=join id=fce662cc4ba0 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:23:47+0700 lvl=info msg="join connections" obj=join id=640d219145ca l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:23:57+0700 lvl=info msg="join connections" obj=join id=bef44a9f96d7 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:24:08+0700 lvl=info msg="join connections" obj=join id=3eadee0fdd06 l=[::1]:3000 r=203.80.164.89:6126
t=2026-04-08T16:24:18+0700 lvl=info msg="join connections" obj=join id=2a9266612d01 l=[::1]:3000 r=203.80.164.89:6126
